title,doi,arxiv_id,abstract_decision,fulltext_decision,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
PoLAR: Polar-Decomposed Low-Rank Adapter Representation,10.48550/arXiv.2506.03133,2506.03133,SKIP,DEFER,1,1,1,1,0,0
Is the GPU Half-Empty or Half-Full? Practical Scheduling Techniques for LLMs,10.48550/arXiv.2410.17840,2410.17840,SKIP,DEFER,1,1,1,1,0,0
Robust P2P Personalized Learning,10.1109/SRDS51746.2020.00037,,SKIP,DEFER,1,1,1,1,0,0
CFL: Cluster Federated Learning in Large-Scale Peer-to-Peer Networks,10.1007/978-3-031-22390-7_27,,SKIP,DEFER,1,1,1,1,0,0
Decentralized trustless gossip training of deep neural networks,10.23919/MIPRO48935.2020.9245248,,SKIP,DEFER,1,1,1,1,0,0
eFedLLM: Efficient LLM Inference Based on Federated Learning,10.48550/arXiv.2411.16003,2411.16003,SKIP,DEFER,1,1,1,1,0,0
Prompt Inversion Attack Against Collaborative Inference of Large Language Models,10.1109/SP61157.2025.00160,,SKIP,DEFER,1,1,1,1,0,0
Orthogonal Finetuning Made Scalable,10.48550/arXiv.2506.19847,2506.19847,SKIP,DEFER,1,1,1,1,0,0
AdapterDistillation: Non-Destructive Task Composition with Knowledge Distillation,10.18653/v1/2023.emnlp-industry.20,,SKIP,DEFER,1,1,1,1,0,0
Towards Practical Overlay Networks for Decentralized Federated Learning,10.1109/ICNP61940.2024.10858583,,SKIP,DEFER,1,1,1,1,0,0
Engine-Agnostic Model Hot-Swapping for Cost-Effective LLM Inference,10.1145/3731599.3767354,,SKIP,DEFER,1,1,1,1,0,0
Remembering Transformer for Continual Learning,10.1109/IJCNN64981.2025.11227313,,SKIP,DEFER,1,1,1,1,0,0
Birds in Cages: Edge Inference Allocation for Distributed LLM Deployment,10.1109/IWQoS65803.2025.11143464,,SKIP,DEFER,1,1,1,1,0,0
PHLoRA: data-free Post-hoc Low-Rank Adapter extraction from full-rank checkpoint,10.48550/arXiv.2509.10971,2509.10971,SKIP,DEFER,1,1,1,1,0,0
"AdaPrefix++: Integrating Adapters, Prefixes and Hypernetwork for Continual Learning",10.1109/WACV61041.2025.00709,,SKIP,DEFER,1,1,1,1,0,0
Audio-Adapterfusion: A Task-Id-Free Approach for Efficient and Non-Destructive Multi-Task Speech Recognition,10.1109/ASRU57964.2023.10389744,,SKIP,DEFER,1,1,1,1,0,0
A Federated Fine-Tuning Framework for Large Language Models via Graph Representation Learning and Structural Segmentation,10.3390/math13193201,,SKIP,DEFER,1,1,1,1,0,0
"Fine-Tune Smarter, Not Harder: Parameter-Efficient Fine-Tuning for Geospatial Foundation Models",10.1007/978-3-032-06106-5_30,,SKIP,DEFER,1,1,1,1,0,0
PC-MoE: memory-efficient and privacy-preserving collaborative training for Mixture-of-Experts LLMs,10.1007/s10994-025-06901-2,,SKIP,DEFER,1,1,1,1,0,0
AFedLF: Adaptive Layer Freezing of Foundation Models in Heterogeneous Federated Learning,10.1109/TMC.2025.3632655,,SKIP,DEFER,1,1,1,1,0,0
The BSRA framework for dual sparse parameter efficient fine tuning with block structured gating and rank adaptation.,10.1038/s41598-026-40835-6,,SKIP,DEFER,1,1,1,1,0,0
Efficient Task Scheduling Algorithms for Decentralized Large Language Model Serving,10.1109/TENCON66050.2025.11375380,,SKIP,DEFER,1,1,1,1,0,0
BladeLoRA: An Enhanced LoRA Method with Adaptive Rank Selection and Pruning for Efficient Fine-Tuning,10.1007/978-3-032-02899-0_6,,SKIP,DEFER,1,1,1,1,0,0
"Unpacking distributed machine learning: A unified taxonomy, formal foundations, and the rise of emerging paradigms",10.1016/j.neucom.2026.132828,,SKIP,DEFER,0,0,1,1,0,0
The Promise of Serverless Computing within Peer-to-Peer Architectures for Distributed ML Training,,,SKIP,DEFER,0,0,1,1,0,0
SineLoRA∆: Sine-Activated Delta Compression,10.1609/aaai.v40i26.39279,,SKIP,DEFER,0,0,1,1,0,0
BSLoRA: Enhancing the Parameter Efficiency of LoRA with Intra-Layer and Inter-Layer Sharing,,,SKIP,DEFER,0,0,1,1,0,0
